노래제목,가수,가사,대표 감정
신호등,이무진,이제야 목적지를 정했지만 가려한 날 막아서네 난 갈 길이 먼데 새빨간 얼굴로 화를 냈던 친구가 생각나네 이미 난 발걸음을 떼었지만 가려한 날 재촉하네 걷기도 힘든데 새파랗게 겁에 질려 도망간 친구가 뇌에 맴도네 건반처럼 생긴 도로 위 수많은 동그라미들 모두가 멈췄다 굴렀다 말은 잘 들어 그건 나도 문제가 아냐 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야 솔직히 말하자면 차라리 운전대를 못 잡던 어릴 때가 더 좋았었던 것 같아 그땐 함께 온 세상을 거닐 친구가 있었으니 건반처럼 생긴 도로 위 수많은 조명들이 날 빠르게 번갈아 가며 비추고 있지만 난 아직 초짜란 말이야 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야 꼬질꼬질한 사람이나 부자 곁엔 아무도 없는 삼색 조명과 이색 칠 위에 서 있어 괴롭히지 마 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야,중립
INVU,태연 (TAEYEON),Falling in love 너에겐 난 Option 시작부터 다른 너와 나 깨지는 Heart 빗나간 네 Mention 익숙하거든 I think I lost my mind But It’s my kind of love 아끼지 않고 다 쏟아내고는 주저앉아 문득 어느 순간 지친 내가 보여 애쓰고 있지만 So I can’t love you Even though I do 밀어내 봐도 난 너를 못 이겨 날 버리고 날 잃을수록 넌 반짝이는 아이러니 So I N V U I N V U I N V U 기대지 마 기대하지도 마 몇 번을 되뇌고 되뇌도 그 손길 한 번에 무너지는 날 볼 때 네 기분은 어때 I guess I lost my mind Yeah It’s my kind of love 늘 처음인 것처럼 서툴러서 또 상처가 나 무뎌지기 전에 아물기도 전에 잔뜩 헤집어 놔 So I can’t love you Even though I do 밀어내 봐도 난 너를 못 이겨 날 버리고 날 잃을수록 넌 반짝이는 아이러니 So I N V U I N V U I N V U 식은 온기 부서진 맘이 자꾸 날 할퀴어 아파도 못 멈춰 So when you leave Please make it easy Cause I N V U I N V U I N V U I N V U I N V U,슬픔
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,"내가 슬플 때마다 이 노래가 찾아와 세상이 둥근 것처럼 우린 동글동글 인생은 회전목마 우린 매일 달려가 언제쯤 끝나 난 잘 몰라 어머, 벌써 정신없이 달려왔어 Speed up 어제로 돌아가는 시곌 보다가 어려워 어른이 되어가는 과정이 Uh huh On the road, 24 시간이 아까워 Uh huh Big noise, Everything brand new 어렸을 때처럼 바뀌지 않는 걸 찾아 나섰단 말야 왜냐면 그때가 더 좋았어 난 So let me go back 타임머신 타고 I'll go back 승호가 좋았을 때처럼만 내가 슬플 때마다 이 노래가 찾아와 세상이 둥근 것처럼 우리 인생은 회전목마 우린 매일 달려가 언제쯤 끝나 난 잘 몰라 빙빙 돌아가는 회전목마처럼 영원히 계속될 것처럼 빙빙 돌아올 우리의 시간처럼 인생은 회전목마 어머 벌써 정신없이 달려왔어 Speed up 어제로 돌아가는 시곌 보다가 청춘까지 뺏은 현재 탓할 곳은 어디 없네 Twenty two 세에게 너무 큰 벽 그게 말로 하고 싶어도 어려웠어 가끔은 어렸을 때로 돌아가 불가능하단 건 나도 잘 알아 그 순간만 고칠 수 있다면 지금의 나는 더 나았을까 달려가는 미터기 돈은 올라가 기사님과 어색하게 눈이 맞아 창문을 열어보지만 기분은 좋아지지 않아 그래서 손을 밖으로 쭉 뻗어 쭉 뻗어 흔들리는 택시는 어느새 목적지에 도달했다고 해 방 하나 있는 내 집 안의 손에 있던 짐들은 내가 힘들 때마다 이 노래가 찾아와 세상이 둥근 것처럼 우리 인생은 회전목마 우린 계속 달려가 언제쯤 끝날지 잘 몰라 빙빙 돌아가는 회전목마처럼 영원히 계속될 것처럼 빙빙 돌아올 우리의 시간처럼 인생은 회전목마 I'm on a TV show You would never even know 사실 얼마나 많이 불안했는지 정신없이 돌아서 어딜 봐야 할지 모르겠어 들리나요 여길 보란 말이 빙빙 돌아가는 회전목마처럼 영원히 계속될 것처럼 빙빙 돌아올 우리의 시간처럼 인생은 회전목마 빙빙 돌아가는 회전목마처럼 영원히 계속될 것처럼 빙빙 돌아올 우리의 시간처럼 인생은 회전목마",슬픔
Feel My Rhythm,Red Velvet (레드벨벳),Red Velvet 무도회를 뒤집어 작은 소란을 또 일으켜 This is gonna be a crazy night (To-na-na-na-na-na-night) 등장부터 인사까지 파격적이게 우리 살짝 놀아볼까 솔직하게 Bae bae 지금부터 시작해 볼게 (Feel my vibe and sway) 꽃가루를 날려 폭죽을 더 크게 터트려 우릴 오만과 편견에 가두지 마 자유로워 지금 Feel my rhythm Come with me 상상해 봐 뭐든지 노래를 따라서 저 달빛에 춤을 춰 바로 지금 (Play my rhythm) Follow follow my heartbeat 해가 떠올 때까지 Feel my rhythm 멈추지 말아 줘 이 순간을 놓지 마 Baby 차는 Old and Classic (Just ride) 이제 조금 낯선 다른 차원까지 (Get loud) 상상할 수 없던 곳 시간 속 예고 없이 등장해 이 밤은 멋지고 우린 Fun and wild and brave 시선을 끄는 네 Motion G-give me a new direction 끝없는 Black hole처럼 빠져드는 Sweet emotion 너를 태운 채 (Sway) 어디로든 떠날래 (Way) 온 세상 모든 경계를 다 휘저을래 (Oh yeah) 꽃가루를 날려 (흩날려) Champagne을 더 크게 터트려 (마음껏) 더는 어제와 내일에 가두지 마 자유로워 지금 Feel my rhythm Come with me 상상해 봐 뭐든지 노래를 따라서 저 달빛에 춤을 춰 바로 지금 (Play my rhythm) Follow follow my heartbeat 해가 떠올 때까지 Feel my rhythm 멈추지 말아 줘 이 순간을 놓지 마 Baby 온 세상이 멈추는 순간 What a what a feeling 어서 내 손을 잡아 (All right) 본 적 없던 Film 빠져드는 You and I Next time 시계를 돌려 어디로 가볼까 Come on 또다시 시작해 You and I Feel my rhythm Come with me 상상해 봐 뭐든지 노래를 따라서 저 달빛에 춤을 춰 바로 지금 (Play my rhythm) Follow follow my heartbeat 해가 떠올 때까지 Feel my rhythm 끝나지 않는 꿈 이 순간을 놓지 마 Baby,분노
Hype Boy,NewJeans,"(1,2,3,4) Baby, got me looking so crazy 빠져버리는 daydream Got me feeling you 너도 말해줄래 누가 내게 뭐라든 남들과는 달라 넌 Maybe you could be the one 날 믿어봐 한번 I’m not looking for just fun Maybe I could be the one Oh baby 예민하대 나 lately 너 없이는 매일 매일이 yeah 재미없어 어쩌지 I just want you Call my phone right now I just wanna hear you’re mine ‘Cause I know what you like boy You’re my chemical hype boy 내 지난날들은 눈 뜨면 잊는 꿈 Hype boy 너만 원해 Hype boy 내가 전해 And we can go high 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you boy 눈을 감아 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you boy 잠에 들려고 잠에 들려 해도 네 생각에 또 새벽 세 시 uh-oh 알려줄 거야 they can’t have you no more 봐봐 여기 내 이름 써있다고 누가 내게 뭐라든 남들과는 달라 넌 Maybe you could be the one 날 믿어봐 한번 I’m not looking for just fun Maybe I could be the one Oh baby 예민하대 나 lately 너 없이는 매일 매일이 yeah 재미없어 어쩌지 I just want you Call my phone right now I just wanna hear you’re mine ‘Cause I know what you like boy You’re my chemical hype boy 내 지난날들은 눈 뜨면 잊는 꿈 Hype boy 너만 원해 Hype boy 내가 전해 And we can go high 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you boy 눈을 감아 말해봐 yeah 느껴봐 mm mm Take him to the sky You know I hype you boy",놀라움
GANADARA (Feat. 아이유),박재범,길거리를 걷다 보면 사랑 노래만 흘러나와 나는 왜 저런 게 낯설까 난 한국말까지 서툴러 번역기도 전혀 도움 안 돼 네 맘엔 어떨까 걱정만 어떤 단어를 쓸지 I don’t know 어떤 말을 할지 I don’t know 나는 왜 이런지 I don’t know You’re on my mind 어떤 단어를 쓸지 I don’t know 어떤 말을 할지 I don’t know 나는 왜 이런지 I don’t know You’re on my mind Baby 정말 생각 안 나 Body language로 자신 있어 보여줄게 girl just give me some your time 너를 보면 손에 땀 나 긴장 풀게 한 번 웃어줘 Let me take u on a magic carpet ride 손을 잡아 따라와 맑은 날씨 보름달 가르쳐줘 오늘 밤 가나다라마바사 손을 잡아 따라와 맑은 날씨 보름달 가르쳐줘 오늘 밤 가나다라마바사 너무 완벽하지 않아도 걱정 마 네 맘을 조금 알 것 같아 네게 좀 더 다가서 볼까 고민해 매일 밤 길거리를 걷다 보면 계속 계속 네 생각이 나 이런 내 모습이 왜 낯설까 번역기 위에서 헤매는 네 손가락까지 자꾸만 생각이 나는 걸 Body language도 나는 괜찮아 But 생각 안 나면 그냥 웃어줘 모든 것을 알려줄게 오늘 밤 내가 나쁜 남자처럼 보여도 너를 볼 때면 맘이 여려져 I wouldn’t mind if I died in your arms 손을 잡아 따라와 맑은 날씨 보름달 가르쳐줘 오늘 밤 가나다라마바사 손을 잡아 따라와 맑은 날씨 보름달 가르쳐줘 오늘 밤 가나다라마바사 손을 잡아 따라와 맑은 날씨 보름달 가르쳐줘 오늘 밤 가나다라마바사 손을 잡아 따라와 맑은 날씨 보름달 가르쳐줘 오늘 밤 가나다라마바사,중립
Attention,NewJeans,"You and me 내 맘이 보이지 한참을 쳐다봐 가까이 다가가 You see You see, ey ey ey ey One, two, three 용기가 생겼지 이미 아는 네 눈치 고개를 돌려 천천히 여기 You see 여기 보이니 Looking for attention 너야겠어 확실하게 나로 만들겠어 Stop, eyyy Drop the question Drop the, drop the question Want attention Wanna want attention You give me butterflies you know 내 맘은 온통 paradise 꿈에서 깨워주지 마 You got me looking for attention You got me looking for attention 가끔은 정말 헷갈리지만 분명한 건 Got me looking for attention 널 우연히 마주친 척할래 못 본 척 지나갈래 You’re so fine Gotta gotta get to know ya 나와 나와 걸어가 줘 지금 돌아서면 I need ya, need ya, need ya To look at me back Hey 다 들켰었나 널 보면 하트가 튀어나와 난 사탕을 찾는 baby (baby) 내 맘은 설레이지 Eyyy, drop the question Drop the, drop the question Want attention Wanna want attention You give me butterflies you know 내 맘은 온통 paradise 꿈에서 깨워주지 마 You got me looking for attention You got me looking for attention 가끔은 정말 헷갈리지만 분명한 건 Got me looking for attention You got me looking for attention You got me looking for attention 가끔은 정말 헷갈리지만 분명한 건 Got me looking for attention A T T E N T I on Attention is what I want A T T E N T I on Attention is what I want A T T E N T I on Attention is what I want A T T E N T I on You got me looking for attention",중립
After LIKE,IVE (아이브),또 모르지 내 마음이 저 날씨처럼 바뀔지 날 나조차 다 알 수 없으니 그게 뭐가 중요하니 지금 네게 완전히 푹 빠졌단 게 중요한 거지 아마 꿈만 같겠지만 분명 꿈이 아니야 달리 설명할 수 없는 이건 사랑일 거야 방금 내가 말한 감정 감히 의심하지 마 그냥 좋다는 게 아냐 What's after 'LIKE'? You and I It's more than 'LIKE' L 다음 또 O 다음 난 yeah You and I It's more than 'LIKE' What's after 'LIKE'? What's after 'LIKE'? 조심해 두 심장에 핀 새파란 이 불꽃이 저 태양보다 뜨거울 테니 난 저 위로 또 아래로 내 그래프는 폭이 커 Yeah that's me 두 번 세 번 피곤하게 자꾸 질문하지 마 내 장점이 뭔지 알아? 바로 솔직한 거야 방금 내가 말한 감정 감히 의심하지 마 그냥 좋다는 게 아냐 What's after 'LIKE'? You and I It's more than 'LIKE' L 다음 또 O 다음 난 yeah You and I It's more than 'LIKE' What's after 'LIKE'? What's after 'LIKE'? What after like 내 맘에 strike 지금 느낀 짜릿함은 마치 tike LO 다음에 I 그 다음에 VE 여긴 너와 내 space 아무도 막지 못해 나를 보면 눈 깜빡할 시간 조차도 아까울 걸 드디어 만나 반가워 LOVE 사이 놓일 I (What's after 'LIKE'?) You and I It's more than 'LIKE' E 앞 또 V 앞 난 yeah You and I It's more than 'LIKE' What's after 'LIKE'? You and I It's more than 'LIKE' L 다음 또 O 다음 난 yeah You and I It's more than 'LIKE' What's after 'LIKE'? What's after 'LIKE'?,분노
나의 X에게,경서,우리 다시 만날래 예쁘게 빛나던 모든 추억들이 너무 그리워 너의 품에 안길래 이 밤이 새도록 네게 말할 거야 너를 좋아한다고 안녕 그대야 요즘 어떻게 지내 가로수길 걷다가 생각이 나서 행복해 보이는 사람들 속에 우리 둘만 없어서 어색했었어 늘 집에 갈 땐 항상 뒤돌아보면 날 보며 웃어주던 네가 생각났어 우리 다시 만날래 예쁘게 빛나던 모든 추억들이 너무 그리워 너의 품에 안길래 이 밤이 새도록 네게 말할 거야 너를 좋아한다고 토요일마다 가던 한강공원에 이어폰 하나씩 나눠끼고서 벚꽃엔딩같이 듣고 있으면 부러울 게 없었어 너만 있으면 널 사랑할 때 내가 너무 그리워 날 보며 웃어주던 네가 보고 싶어 우리 다시 만날래 예쁘게 빛나던 모든 추억들이 너무 그리워 너의 품에 안길래 이 밤이 새도록 네게 말할 거야 너를 좋아한다고 같이 별 보러 갈래 널 다시 만나면 네 옆에 기대서 잠들고 싶어 너의 품에 안길래 이 밤이 새도록 내 곁에 있어줘 내겐 너뿐이라고,슬픔
그때 그 순간 그대로 (그그그),WSG워너비 (가야G),잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며 사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠 생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나 뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠 그리운 목소리 그리던 얼굴 참 많이도 기다렸어 다시 만나자는 너의 한마디에 울컥 눈물이 나 결국 너였단 걸 알아 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠 우리 사랑했던 우리 다시 만나 그때 그 순간 그대로 사랑했고 사랑할 거니까 같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어 다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠 그리운 만남을 그리던 날들 참 많이도 기다렸어 다시 너를 만나 더욱 더 소중해 같은 마음이란 걸 알아 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠 우리 사랑했던 우리 다시 만나 그때 그 순간 그대로 사랑했고 사랑할 거니까 처음 느낌 그대로 설렘이 가득한 날 고마워 다시 돌아와줘서 그때 그 순간처럼 날 안아줘 결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠 우리 사랑했던 우리 다시 만나 그때 그 순간 그대로 사랑했고 사랑할 거니까,놀라움
LOVE me,BE'O (비오),"Hey girl, Where you at? (Where you at?) 대체 어디서 뭐 하는지 궁금해 기분이 너무 Bad Bad (So bad) 침대가 허전해 잠이 안 오잖아 재미도 없어 TV show 너 데리고 놀던 Pretty boy 그 고민을 내게 털어놓던 너의 표정이 아직 선명해 소파에 벤 니 향기가 비릿해 내 몸이 자꾸 빠져 깊이 Yeah 미리 알아도 난 이리 멍청하게 행동을 해버린다니까 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Now I say I love you So I love you Now I say I love you 나 아프더라도 몰라 Now I say I love you So I love you Now I say I love you 나 아프더라도 몰라 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Now I say I love you Try Try 말할까 내 불안에 불안을 끊겼다는 Wi-Fi 이젠 안 믿어 Lie Lie 매일 빠져있던 너의 반지같이 허전함 사이사이 그 자리의 기회를 아무에게나 주고 또 Bye Bye 너는 넘 빨리 들렀다 가기 땜에 나는 타이밍 안 맞아 매일 바삐 화를 내야 할지 아니면 그냥 아기처럼 울어버리고서 떼를 써야 할지 I don't know 아예 모르겠어 이러니 내가 노력해도 시간이 없으니 어쩌겠어 할 말이 하나밖에 더 있겠어 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Now I say I love you So I love you Now I say I love you 나 아프더라도 몰라 Now I say I love you So I love you Now I say I love you 나 아프더라도 몰라 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Now I say I love you Oh please Love me love me love me Oh please Love me love me love me Oh please Love me love me love me I know, I'm stupid 어쩔 수 없어 널 보고 싶은걸 Now I say I love you",슬픔
Next Level,aespa,"I’m on the Next Level Yeah 절대적 룰을 지켜 내 손을 놓지 말아 결속은 나의 무기 광야로 걸어가 알아 네 Home ground 위협에 맞서서 제껴라 제껴라 제껴라 상상도 못한 Black out 유혹은 깊고 진해 (Too hot too hot) 맞잡은 손을 놓쳐 난 절대 포기 못해 I’m on the Next Level 저 너머의 문을 열어 Next Level 널 결국엔 내가 부셔 Next Level KOSMO에 닿을 때까지 Next Level 제껴라 제껴라 제껴라 La la la la la la La la la la la la La la la la la la La la la la la I see the NU EVO. 적대적인 고난과 슬픔은 널 더 Popping 진화시켜 That’s my naevis It’s my naevis You lead, we follow 감정들을 배운 다음 Watch me while I make it out Watch me while I work it out Watch me while I make it out Watch me while I work it out Work it work it work it out 감당할 수 없는 절망도 내 믿음을 깨지 못해 더 아픈 시련을 맞아도 난 잡은 손을 놓지 않을게 Oh 절대로 뒤를 돌아보지 말아 광야의 것 탐내지 말아 약속이 깨지면 모두 걷잡을 수 없게 돼 언제부턴가 불안해져 가는 신호 널 파괴하고 말 거야 (We want it) Come on! Show me the way to KOSMO Yeah Black Mamba가 만들어낸 환각 퀘스트 aespa, ae를 분리시켜놓길 원해 그래 중심을 잃고 목소리도 잃고 비난받고 사람들과 멀어지는 착각 속에 naevis 우리 ae, ae들을 불러봐 aespa의 Next Level “P.O.S”를 열어봐 이건 REAL WORLD 깨어났어 We against the villain What’s the name? Black Mamba 결국 난 문을 열어 그 빛은 네겐 Fire (Too hot too hot) 난 궁금해 미치겠어 이다음에 펼칠 Story Huh! I’m on the Next Level 저 너머의 문을 열어 Next Level 널 결국엔 내가 부셔 Next Level KOSMO에 닿을 때까지 Next Level 제껴라 제껴라 제껴라 I’m on the Next Level 더 강해져 자유롭게 Next Level 난 광야의 내가 아냐 Next Level 야수 같은 나를 느껴 Next Level 제껴라 제껴라 제껴라 Huh!",슬픔
리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),까만 리무진 보며 꿈을 키웠지 언젠가는 나도 저걸 갖게 될 거야 커다란 리무진에서 내가 내리지 변한 것은 내가 아닌 삶의 무게 they don't know I say hi 내게 안 된다는 사람들 오랜만이야 나를 봐 너에게 인사를 건네는 여유쯤이야 왜 병을 줬어 내게 덕분에 젖었어 베개는 그래서 I said 'you ready?' 이 노랜 널 위한 곡이니까 들어줘 됐어 이제 와 건네는 응원은 개뻥 날 떠난 그녀도 전화해 취해서 회사 매니저가 음악을 채점했던 그때도 버텼어 매번 거짓말 하지 마 원래 잘 될 줄 알았다네 비오가 멀었어 이게 내 신호탄 새벽에 전화는 하지 마 Always hide freakin' inside 그땐 갉아 먹던 자존감이 식사 Reset 그때 나의 실패를 바란 사람들아 Never change though I'm in a limousine 까만 리무진 보며 꿈을 키웠지 언젠가는 나도 저걸 갖게 될 거야 커다란 리무진에서 내가 내리지 변한 것은 내가 아닌 삶의 무게 they don't know No no no oh oh oh oh I don't change my mind if I'm in a limousine Oh no no 기억도 안 나고 안 할 거 열두 평 to 120평 울 엄마 식당 말고 골프 쳐 Back in a day yeah 편이 오늘의 적이네 yeah 그걸 깨달았을 때엔 서랍 안에 총을 넣어뒀네 리무진처럼 길고 길었지 지옥 같던 연습실 청춘을 갈아 넣어 뿌린 내 그릇의 가니쉬 좋은 상품이랍시고 많이들 포장도 하지만 아이돌 다 리스펙하지 I hate your laziness Always hide freakin' inside 그땐 갉아먹던 자존감이 식사 Reset 그때 나의 실패를 바란 사람들아 Never change though I'm in a limousine 까만 리무진 보며 꿈을 키웠지 언젠가는 나도 저걸 갖게 될 거야 커다란 리무진에서 내가 내리지 변한 것은 내가 아닌 삶의 무게 they don't know 떠나도 보내고 가난은 forever 너 때문에 난 희망을 버렸어 그래도 일어서 다시 걸었어 괜찮아 이건 다 리허설 빌빌댔었던 올해 작년과 2년 전 나의 방의 쌓였던 약에 양의 비례한 곡들과 입속의 단내 돌고 돌고 돌아 breathing 이제 쉬어지네 호흡이 몰래몰래 했던 나의 젊은 날에 한숨 가득 찬 레코딩 네 잎을 바라던 손이 저절로 떼버린 하나의 꽃잎 I didn't want luck. I wanted 까만 리무진 보며 꿈을 키웠지 언젠가는 나도 저걸 갖게 될 거야 커다란 리무진에서 내가 내리지 변한 것은 내가 아닌 삶의 무게 they don't know No no no oh oh oh oh I don't change my mind if I'm in a limousine,중립
드라마,아이유,나도 한때는 그이의 손을 잡고 내가 온 세상 주인공이 된 듯 꽃송이의 꽃잎 하나하나까지 모두 날 위해 피어났지 올림픽대로 뚝섬 유원지 서촌 골목골목 예쁜 식당 나를 휘청거리게 만든 주옥같은 대사들 다시 누군가 사랑할 수 있을까 예쁘다는 말 들을 수 있을까 하루 단 하루만 기회가 온다면 죽을힘을 다해 빛나리 언제부턴가 급격하게 단조로 바뀌던 배경음악 조명이 꺼진 세트장에 혼자 남겨진 나는 단역을 맡은 그냥 평범한 여자 꽃도 하늘도 한강도 거짓말 나의 드라마는 또 이렇게 끝나 나왔는지조차 모르게 끝났는지조차 모르게,놀라움
strawberry moon,아이유,"달이 익어가니 서둘러 젊은 피야 민들레 한 송이 들고 사랑이 어지러이 떠다니는 밤이야 날아가 사뿐히 이루렴 팽팽한 어둠 사이로 떠오르는 기분 이 거대한 무중력에 혹 휘청해도 두렵진 않을 거야 푸르른 우리 위로 커다란 strawberry moon 한 스쿱 나에게 너를 맡겨볼래 eh-oh 바람을 세로질러 날아오르는 기분 so cool 삶이 어떻게 더 완벽해 ooh 다시 마주하기 어려운 행운이야 온몸에 심장이 뛰어 Oh 오히려 기꺼이 헤매고픈 밤이야 너와 길 잃을 수 있다면 맞잡은 서로의 손으로 출입구를 허문 이 무한함의 끝과 끝 또 위아래로 비행을 떠날 거야 푸르른 우리 위로 커다란 strawberry moon 한 스쿱 나에게 너를 맡겨볼래 eh-oh 바람을 세로질러 날아오르는 기분 so cool 삶이 어떻게 더 완벽해 ooh 놀라워 이보다 꿈같은 순간이 또 있을까 (더 있을까) 아마도 우리가 처음 발견한 오늘 이 밤의 모든 것, 그 위로 날아 푸르른 우리 위로 커다란 strawberry moon 한 스쿱 세상을 가져보니 어때 eh-oh 바람을 세로질러 날아오르는 기분 so cool 삶이 어떻게 더 완벽해 ooh",중립
너의 모든 순간,성시경,이윽고 내가 한눈에 너를 알아봤을 때 모든 건 분명 달라지고 있었어 내 세상은 널 알기 전과 후로 나뉘어 니가 숨 쉬면 따스한 바람이 불어와 니가 웃으면 눈부신 햇살이 비춰 거기 있어줘서 그게 너라서 가끔 내 어깨에 가만히 기대주어서 나는 있잖아 정말 빈틈없이 행복해 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다 보곤 해 그것 말고는 아무것도 할 수 없어서 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 보고 있으면 왠지 꿈처럼 아득한 것 몇 광년 동안 날 향해 날아온 별빛 또 지금의 너 거기 있어줘서 그게 너라서 가끔 나에게 조용하게 안겨주어서 나는 있잖아 정말 남김없이 고마워 너를 따라서 시간은 흐르고 멈춰 물끄러미 너를 들여다보곤 해 너를 보는 게 나에게는 사랑이니까 너의 모든 순간 그게 나였으면 좋겠다 생각만 해도 가슴이 차올라 나는 온통 너로 니 모든 순간 나였으면,기쁨
내가 아니라도,주호,사랑이었다 별거 없던 내 하루에 빛이 돼준 단한 사람 나보다 나를 더 아껴 주던 너를 그땐 왜 몰랐을까 행복이었다 다시는 없을 것 같던 잠시나마 행복했었다 다른 사람 곁에 있는 널 생각해 본 적 없지만 이젠 너를 보내줘야 할 것 같아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 내 전부였다 무엇도 바꿀 수 없던 우리라서 행복했었다 다른 누구라도 나보다 더 좋은 사람 만나서 이젠 나를 잊고 행복하게 살아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 어두웠던 내 하루에 빛이 되어주던 그날들을 어떻게 잊고 살아 과분했던 너라는 사람을 만나 누구보다 사랑했었다 내가 아니었다면 눈부시게 사랑받았을 너란 걸 이 세상에 누구보다 더 잘 알아서 미안했어 너와 함께한 날들이 더 말할 게 있을까 행복한 기억만 가져갈게,기쁨
듣고 싶을까,MSG워너비(M.O.M),우리 함께 듣던 그 노랠 듣고 싶을까 듣고 나서 잠시 날 생각은 할까 아주 혹시라도 넌 내가 보고 싶을까 난 왜 니 목소리가 듣고 싶을까 뻔하디 뻔한 노랫말 여서 미안해 미안해도 부디 넌 꼭 들어줬음 해 후회도 미련도 없는 척 떠났지만 이게 내 진심인 걸 꼭 알아줬음 해 우리 함께 듣던 그 노랠 듣고 싶을까 듣고 나서 잠시 날 생각은 할까 아주 혹시라도 넌 내가 보고 싶을까 못난 내 목소리가 듣고 싶을까 말없이 다 전해지는 건 없지 난 말해 지금 몇 년째 나의 favorite one You the only one yeah Yes I know 무엇도 달라질 건 없지만 이게 내 진심인 걸 꼭 알아줬음 해 우리 함께 듣던 그 노랠 듣고 싶을까 듣고 나서 잠시 날 생각은 할까 아주 혹시라도 넌 내가 보고 싶을까 난 왜 니 목소리가 듣고 싶을까 Are you okay not today 천천히 대답해도 돼 i just stay 넌 내 목소리가 듣고 싶을까 누굴 만나 봐도 다시는 못할 것 같아 그립고 또 그립다 우리 그 사랑 Woo I’m missing U Never forget U Never forget U Oh no baby,슬픔
너를 생각해,주시크 (Joosiq),너를 들려주고 싶었어 이 노랠 만들 때 아마 니가 정말 많이 좋아할꺼야 이젠 내겐 니가 없어서 나 혼자 불러도 혹시 듣게 되면 그게 니 얘기라고 난 노랠 만들 땐 늘 너를 생각해 어딘가 혼자 진지한 표정 고개를 끄덕거리고 나선 항상 흥얼거리며 따라 불렀어 나를 보며 신나있던 너에게 불러주고 싶던 노래를 왜 이제야 겨우 완성했을까 이 노랜 널 사랑한다는 내 얘기가 잔뜩 들어갔어야 하는 노랜데 너를 들려주고 싶었어 이 노랠 만들 때 아마 니가 정말 많이 좋아할꺼야 이젠 내겐 니가 없어서 나 혼자 불러도 혹시 듣게 되면 그게 니 얘기라고 니가 자주 가곤했던 카페에 이 노래가 나올 때까지 니 친구가 따라 부를 때까지 이 노랠 유명해지게 계속 불러서 나는 너에게로 꼭 닿고 말거야 너를 들려주고 싶었어 이 노랠 만들때 아마 니가 정말 많이 좋아할꺼야 이젠 내겐 니가 없어서 나 혼자 불러도 혹시 듣게 되면 그게 니 얘기라고 너를 사랑할땐 몰랐던 바보라 미안해 아마 이걸 듣고 너는 원망하겠지 이젠 내가 많이 잘할게 너 혼자 울지마 혹시 듣게 되면 아직 너뿐이라고,슬픔
